session_id	query_text	serp_pos	url	is_click	total_view_time
440014	1469	0	194056	False	-1
440014	1469	1	619076	True	180
440014	1469	2	736432	False	-1
440014	1469	3	164810	False	-1
440014	1469	4	273353	False	-1
440014	1469	5	800282	False	-1
440014	1469	6	288045	False	-1
440014	1469	7	131507	False	-1
440014	1469	8	288040	False	-1
440014	1469	9	11202	False	-1
338413	1469	0	241084	True	1134
338413	1469	1	477004	False	-1
338413	1469	2	658443	False	-1
338413	1469	3	490938	False	-1
338413	1469	4	840072	False	-1
338413	1469	5	180769	False	-1
338413	1469	6	516433	False	-1
338413	1469	7	288045	False	-1
338413	1469	8	715787	False	-1
338413	1469	9	840063	False	-1
256421	1469	0	241084	True	3032
256421	1469	1	477004	False	-1
256421	1469	2	658443	False	-1
256421	1469	3	490938	False	-1
256421	1469	4	840072	False	-1
256421	1469	5	180769	False	-1
256421	1469	6	516433	False	-1
256421	1469	7	288045	False	-1
256421	1469	8	715787	False	-1
256421	1469	9	840063	False	-1
409487	1469	0	241084	True	728
409487	1469	1	477004	False	-1
409487	1469	2	658443	False	-1
409487	1469	3	490938	False	-1
409487	1469	4	840072	False	-1
409487	1469	5	180769	False	-1
409487	1469	6	516433	False	-1
409487	1469	7	288045	False	-1
409487	1469	8	715787	False	-1
409487	1469	9	840063	False	-1
258242	1469	0	241084	True	150
258242	1469	1	477004	False	-1
258242	1469	2	658443	False	-1
258242	1469	3	490938	False	-1
258242	1469	4	840072	False	-1
258242	1469	5	180769	False	-1
258242	1469	6	516433	False	-1
258242	1469	7	288045	False	-1
258242	1469	8	715787	False	-1
258242	1469	9	840066	False	-1
207697	1469	0	241084	True	4242
207697	1469	1	477004	False	-1
207697	1469	2	658443	False	-1
207697	1469	3	490938	False	-1
207697	1469	4	840072	False	-1
207697	1469	5	180769	False	-1
207697	1469	6	516433	False	-1
207697	1469	7	288045	False	-1
207697	1469	8	715787	False	-1
207697	1469	9	840066	False	-1
505256	1469	0	241084	True	9180
505256	1469	1	477004	True	6
505256	1469	2	658443	False	-1
505256	1469	3	490938	False	-1
505256	1469	4	180769	False	-1
505256	1469	5	516433	False	-1
505256	1469	6	1014523	False	-1
505256	1469	7	415176	False	-1
505256	1469	8	288045	False	-1
505256	1469	9	715787	False	-1
393996	1469	0	241084	True	224
393996	1469	1	477004	False	-1
393996	1469	2	658443	False	-1
393996	1469	3	490938	False	-1
393996	1469	4	840072	False	-1
393996	1469	5	180769	False	-1
393996	1469	6	516433	False	-1
393996	1469	7	288045	False	-1
393996	1469	8	715787	False	-1
393996	1469	9	840063	False	-1
290760	1469	0	241084	True	5354
290760	1469	1	477004	False	-1
290760	1469	2	658443	False	-1
290760	1469	3	490938	False	-1
290760	1469	4	840072	False	-1
290760	1469	5	180769	False	-1
290760	1469	6	516433	False	-1
290760	1469	7	288045	False	-1
290760	1469	8	715787	False	-1
290760	1469	9	840066	False	-1
310777	1469	0	241084	True	368
310777	1469	1	477004	False	-1
310777	1469	2	658443	False	-1
310777	1469	3	490938	False	-1
310777	1469	4	840072	False	-1
310777	1469	5	180769	False	-1
310777	1469	6	516433	False	-1
310777	1469	7	288045	False	-1
310777	1469	8	715787	False	-1
310777	1469	9	840066	False	-1
77783	1469	0	241084	True	1828
77783	1469	1	477004	False	-1
77783	1469	2	658443	False	-1
77783	1469	3	490938	False	-1
77783	1469	4	840072	False	-1
77783	1469	5	180769	False	-1
77783	1469	6	516433	False	-1
77783	1469	7	288045	False	-1
77783	1469	8	715787	False	-1
77783	1469	9	840066	False	-1
226153	1469	0	241084	True	722
226153	1469	1	477004	False	-1
226153	1469	2	658443	False	-1
226153	1469	3	490938	False	-1
